Model,Resampling,Precision,Recall,F1,ROC-AUC,PR-AUC
Random Forest,none,0.9294117647058824,0.8061224489795918,0.8633879781420765,0.9768687265283152,0.8643934268743825
Logistic Regression,none,0.8289473684210527,0.6428571428571429,0.7241379310344828,0.9572835078037969,0.7439486441557351
Random Forest,smote,0.532051282051282,0.8469387755102041,0.6535433070866141,0.9798610074305468,0.830718888401693
Logistic Regression,smote,0.05813953488372093,0.9183673469387755,0.10935601458080195,0.9698482164390798,0.7248611768135256
Random Forest,undersample,0.04170528266913809,0.9183673469387755,0.0797872340425532,0.9797133224420888,0.7026555043593548
Logistic Regression,undersample,0.03844510892780863,0.9183673469387755,0.07380073800738007,0.9759546228451987,0.6778403806811123
